"","Base salary","Net worth","Last elected","Next election","Associate","Bachelor's","Service / branch","Years of service","Religion","Profession"
"641",NA,NA,NA,"June 2, 2020",NA,"University of Southern Maine, 1998",NA,NA,"Catholic","Longhand trucker and owner"
"642",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,"Tile setter"
"643",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"644","$174,000",NA,"November 6, 2018","June 2, 2020",NA,"Purdue University",NA,NA,NA,"Business owner"
"645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"647",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"648",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"649",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"650",NA,NA,NA,"June 2, 2020",NA,"United States Military Academy West Point, 1979","United States Army","1979 - 2010","Methodist",NA
"651",NA,NA,NA,"June 2, 2020",NA,"Indiana University, 1996","U.S. Army","1986 - 1999","Christianity",NA
"652",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,"Christian","CEO"
"653",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"654",NA,NA,NA,"June 2, 2020",NA,"Texas Tech University",NA,NA,NA,"Engineer"
"655",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"656",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"657",NA,NA,NA,"June 2, 2020",NA,"Indiana University, 1981-08",NA,NA,"United Methodist","Private Equity Investor"
"658",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"659",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"660","$76,892",NA,"November 6, 2018","June 2, 2020",NA,"Valparaiso University",NA,NA,NA,NA
"661",NA,NA,NA,"June 2, 2020",NA,"Purdue University",NA,NA,NA,"Accountant"
"662",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,"Lawyer"
"663","$25,435.98/year",NA,NA,"June 2, 2020",NA,"National University of Economics, Ukraine",NA,NA,"Orthodox Christian","Public accountant/business owner"
"664",NA,NA,NA,"June 2, 2020",NA,"Indiana University Bloomington, 1984-08",NA,NA,NA,NA
"665",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,"Lutheran",NA
"666",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"667",NA,NA,NA,"June 2, 2020",NA,"Purdue University",NA,NA,NA,NA
"668",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"669",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"670",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"671","$174,000",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,NA,NA
"672",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"673",NA,NA,NA,"June 2, 2020","Evansville College","Butler University","United States Air Force","1951 - 1959",NA,"Pharmaceutical sales"
"674",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"675",NA,NA,NA,"June 2, 2020",NA,"Ball State University, 1981",NA,NA,NA,"Clergy"
"676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"678",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"679",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"680",NA,NA,NA,"June 2, 2020",NA,"Northwestern University, 1982",NA,NA,"Christian",NA
"681",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"682",NA,NA,NA,"June 2, 2020",NA,"Ball State University",NA,NA,"Christian","Attorney"
"683",NA,NA,NA,"June 2, 2020",NA,"Indiana University, 1976-05",NA,NA,"Christian",NA
"684","$174,000","(2012) $1,123,977","November 6, 2018","June 2, 2020",NA,"University of Illinois, Urbana-Champaign","United States Navy Reserve","1989 - 1998","Christian: Lutheran","Heart Surgeon"
"685",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"686",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"687",NA,NA,NA,"June 2, 2020",NA,"Indiana University, 1985",NA,NA,"Christian",NA
"688","$174,000",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,NA,NA
"689",NA,NA,NA,"June 2, 2020",NA,NA,"United States Marine Corps","1998 - 2002",NA,NA
"690",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"691",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"692",NA,NA,NA,"June 2, 2020",NA,"St. Ambrose College, 1980",NA,NA,"Lutheran (LC-I)","Pastor"
"693",NA,NA,NA,"June 2, 2020",NA,"Cornell University, 1987",NA,NA,NA,NA
"694",NA,NA,NA,"November 3, 2020",NA,"Indiana University","U.S. Marine Corp, Army Reserve, Indiana National Guard","1965 - 2006","Protestant",NA
"695",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"696",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"697",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"698",NA,NA,NA,"August 4, 2020",NA,"United States Air Force Academy","United States Air Force",NA,NA,"County Commissioner"
"699",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"700","$88.66/day",NA,"November 6, 2018","August 4, 2020",NA,NA,NA,NA,NA,NA
"701","$86,003",NA,"November 6, 2018","August 4, 2020",NA,NA,NA,NA,NA,NA
"702",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,"Mayor"
"703","$174,000",NA,"November 6, 2018","August 4, 2020","Johnson County Community College, 2003","University of Missouri, Kansas City, 2007",NA,NA,NA,NA
"704",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"705",NA,NA,NA,"August 4, 2020",NA,"University of Arizona, 1981-05",NA,NA,"Christian","Engineer"
"706",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"707",NA,NA,NA,"August 4, 2020",NA,"Westminster College, 2004",NA,NA,"Catholic","President & CEO, National Down Syndrome Society"
"708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"710",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"711","$174,000",NA,"November 6, 2018","June 23, 2020",NA,"Western Kentucky University, 1993",NA,NA,"Christian: Baptist","Business"
"712","$174,000","(2012) $1,378,515","November 6, 2018","June 23, 2020",NA,"United States Military Academy West Point","United States Army Reserve","1990 - 2002","Christian: Methodist","Business executive"
"713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,"Musician"
"715",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,"Software consultant"
"716","$174,000","(2012) $21,201,024.50","November 6, 2018","June 23, 2020",NA,"Yale University",NA,NA,NA,"Writer, Television Journalist"
"717",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"718",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"719",NA,NA,NA,"June 23, 2020",NA,"University of Louisville",NA,NA,NA,NA
"720","$174,000","(2012) $2,841,001","November 6, 2018","June 23, 2020",NA,"Massachusetts Institute of Technology",NA,NA,"Christian","Farmer"
"721",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"722",NA,NA,NA,"June 23, 2020",NA,"University of Tennessee, Knoxville, 2001",NA,NA,"Roman Catholic",NA
"723",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"724","$174,000","(2012) $3,762,739.50","November 6, 2018","June 23, 2020",NA,"University of Kentucky","Kentucky and North Carolina Army National Guard","1956 - 1963","Christian: Baptist","Attorney"
"725",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"726",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"727",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"728","$174,000","(2012) $346,012","November 6, 2018","June 23, 2020",NA,"University of Virginia",NA,NA,"Christian: Episcopalian","Attorney"
"729",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"730",NA,NA,NA,"June 23, 2020",NA,"Massachusetts Institute of Technology",NA,NA,NA,"Assistant director"
"731",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"732",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,"Business analyst"
"733",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"739",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Catholic",NA
"740",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"742","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,NA
"743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"745",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747","$22,800/year",NA,"October 12, 2019","November 3, 2020",NA,NA,NA,NA,NA,"Business owner"
"748",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"749",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752","$174,000","(2012) $166,505.50","November 6, 2018","September 1, 2020","Holyoke Community College","American International College",NA,NA,"Christian: Catholic","Teacher and elected official"
"753",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"756","$174,000","$3,206,005","November 6, 2018","September 1, 2020",NA,"American University",NA,NA,"Christian: Catholic","Elected official"
"757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758","$174,000",NA,"November 6, 2018","September 1, 2020",NA,NA,NA,NA,NA,NA
"759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"761",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"762",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"763",NA,NA,NA,"September 1, 2020",NA,"Harvard University",NA,NA,NA,NA
"764",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"765",NA,NA,NA,"September 1, 2020",NA,"Earlham College, 2007",NA,NA,"Protestant",NA
"766",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"767",NA,NA,NA,"September 1, 2020",NA,"Cornell University",NA,NA,NA,"Engineer"
"768","$176,624",NA,NA,NA,NA,"American University",NA,NA,NA,"Attorney"
"769","$176,624",NA,NA,NA,NA,"American University",NA,NA,NA,"Attorney"
"770",NA,NA,NA,"September 1, 2020",NA,"Middlebury College",NA,NA,"Jewish",NA
"771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"773",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774","$174,000",NA,"November 6, 2018","September 1, 2020",NA,NA,"U.S. Marine Corps.",NA,NA,"President of Eastern Healthcare Partners"
"775",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"776",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,"Roman Catholic",NA
"777",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"778",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,"Roman Catholic",NA
"779",NA,NA,NA,"November 3, 2020","Middlesex Community College, 2012","University of Massachusetts, Lowell, 2014",NA,NA,NA,NA
"780","$174,000",NA,"November 6, 2018","September 1, 2020",NA,NA,NA,NA,NA,NA
"781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"783",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787","$174,000","(2012) $2,321,025.50","November 6, 2018","June 2, 2020",NA,"Johns Hopkins University","U.S. Naval Reserve","1988 - 2010","Christian: Catholic","Doctor"
"788",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"789",NA,NA,NA,"June 2, 2020",NA,"University of Maryland, College Park",NA,NA,NA,NA
"790",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"791",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"792","$174,000","(2012) $1,782,010.50","November 6, 2018","June 2, 2020",NA,"University of Maryland, College Park",NA,NA,"Christian: Methodist","Attorney"
"793",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"794",NA,NA,NA,"June 2, 2020",NA,"University of Maryland","U.S. Army",NA,NA,NA
"795",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"796",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"797","$47,769/year",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,"Christian: Catholic","Owner/Operator, My Body Shop"
"798",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"799","$47,769/year",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,NA,NA
"800",NA,NA,NA,"June 2, 2020",NA,"University of Delaware, 1983",NA,NA,"Christian: Presbyterian",NA
"801",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"802",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"803","$174,000","(2012) $219,004.50","November 6, 2018","June 2, 2020",NA,"Princeton University",NA,NA,"Greek Orthodox Christian","Attorney"
"804",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"805",NA,NA,NA,NA,NA,"Manhattan Christian College, 1974",NA,NA,NA,NA
"806",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"807",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"808",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"809",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"810",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"811","$174,000",NA,"November 6, 2018","June 2, 2020",NA,"Harvard College, 1984","United States Army Reserve","1984 - 1994",NA,NA
"812",NA,NA,NA,"June 2, 2020",NA,"Jackson State University",NA,NA,NA,"Attorney"
"813",NA,NA,NA,"June 2, 2020",NA,"PTC Career Institute, 1988",NA,NA,NA,"Bus operator"
"814",NA,NA,NA,"June 2, 2020",NA,"Rutgers University",NA,NA,NA,"Information technology contractor"
"815",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"816",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"817","$193,400","(2012) $33,501.50","November 6, 2018","June 2, 2020",NA,"University of Maryland, College Park",NA,NA,"Christian: Baptist","Attorney"
"818",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"819",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"820",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"821",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"822",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"823",NA,NA,NA,"June 2, 2020",NA,"University of Connecticut",NA,NA,NA,"Teacher"
"824",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,"Christian","Farmer/Small business owner"
"825",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"826",NA,NA,NA,"June 2, 2020",NA,"Northeast Louisiana University, 1995-05","U.S. Air Force","1991 - 2018","Christian","Consultant"
"827",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Christian",NA
"828","$174,000",NA,"November 6, 2018","June 2, 2020",NA,"Furman University",NA,NA,NA,"Business owner"
"829",NA,NA,NA,"June 2, 2020",NA,"The University of Maryland, 2012-12",NA,NA,NA,"High school teacher"
"830",NA,NA,NA,"June 2, 2020",NA,NA,"U.S. Army",NA,NA,NA
"831",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,"Geologist"
"832","$47,769/year",NA,"November 6, 2018","June 2, 2020",NA,"University of Maryland, College Park, 1994",NA,NA,NA,"President, Traffic Solutions"
"833",NA,NA,NA,"June 2, 2020",NA,"Virginia Military Institute, 1989",NA,NA,NA,NA
"834",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"835",NA,NA,"November 6, 2018","June 2, 2020",NA,"Loyola University",NA,NA,"Christian: Episcopalian","Attorney"
"836",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"837",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"838",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"839",NA,NA,NA,"June 2, 2020",NA,"University of Delaware, 1992",NA,NA,NA,"Medical doctor"
"840",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"842","$47,769/year",NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,NA,NA
"843",NA,NA,"April 28, 2020","June 2, 2020",NA,NA,NA,NA,NA,NA
"844",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"845",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"846",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"847",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"848",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"849",NA,NA,NA,"June 2, 2020",NA,"Morgan State University",NA,NA,NA,"Congressional assistant"
"850",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"851",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"852",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"853",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"854",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"855",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"856",NA,NA,NA,"June 2, 2020",NA,"Columbia University, 2002",NA,NA,"Christian","Entrepreneur"
"857",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"858","$174,000",NA,"November 6, 2018","June 2, 2020",NA,"Harvard College, 1983",NA,NA,NA,"Professor of Law"
"859",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"860",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"861",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"862",NA,NA,NA,"June 2, 2020",NA,"Embry-Riddle Aeronautical University, 2003-12",NA,NA,"Christian",NA
"863",NA,NA,NA,"June 2, 2020",NA,"East Carolina University",NA,NA,NA,NA
"864",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,"Catholic",NA
"865",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"866",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"867",NA,NA,NA,"June 2, 2020",NA,"Harvard University, 2012",NA,NA,NA,NA
"868","$174,000","(2012) $40,462,046.50","November 6, 2018","July 14, 2020",NA,"College of the Atlantic",NA,NA,"Lutheran - ELCA","Farmer, Businesswoman"
"869",NA,NA,NA,"July 14, 2020",NA,NA,NA,NA,NA,NA
"870","$174,000",NA,"November 6, 2018","July 14, 2020",NA,NA,NA,NA,NA,NA
"871",NA,NA,NA,"July 14, 2020",NA,NA,NA,NA,"Christian","Realtor"
"872",NA,NA,NA,"July 14, 2020",NA,NA,NA,NA,"Christian: Baptist","Financial record manager"
"873",NA,NA,NA,"July 14, 2020",NA,NA,NA,NA,"Christian: Baptist","Business owner"
"874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"875",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"878","$174,000","(2012) $878,508","November 6, 2018","August 4, 2020",NA,"Calvin College",NA,NA,"Christian Reformed","Business"
"879",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,"Christian",NA
"880",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"881","$174,000","(2012) $1,545,013","November 6, 2018","November 3, 2020",NA,"University of Michigan, Ann Arbor",NA,NA,"Orthodox Christian","Attorney"
"882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"884",NA,NA,"November 6, 2018","August 4, 2020",NA,NA,NA,NA,NA,NA
"885",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"887",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"888",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"889",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"890","$174,000",NA,"November 6, 2018","August 4, 2020",NA,"Hope College",NA,NA,"Christian","Chemist"
"891",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"892",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"893","$174,000","(2012) $180,004","November 6, 2018","August 4, 2020",NA,"Central Michigan University, 2011",NA,NA,"Christian: Catholic",NA
"894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"895",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"896",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"897",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"898","$174,000","(2012) $18,330,586","November 6, 2018","August 4, 2020",NA,"University of Michigan, Ann Arbor",NA,NA,"Congregationalist","Civil Servant"
"899",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"901","$71,685/year",NA,"November 6, 2018","August 4, 2020",NA,NA,NA,NA,NA,NA
"902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"903",NA,NA,NA,"August 4, 2020",NA,"Western Illinois University",NA,NA,NA,"Research director"
"904",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"906",NA,NA,NA,"August 4, 2020",NA,"Lynchburg College",NA,NA,NA,"Commercial real estate agent"
"907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"908",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,"Butcher"
"909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"910","$174,000",NA,"November 6, 2018","August 4, 2020",NA,NA,NA,NA,NA,NA
"911",NA,NA,NA,"August 4, 2020",NA,"Oakland University, 1998",NA,NA,"Christian",NA
"912",NA,NA,NA,"August 4, 2020",NA,NA,"U.S. Marine Corps","2000 - 2020","Christian",NA
"913",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"914",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"915",NA,NA,NA,"August 4, 2020",NA,"Eastern Michigan University",NA,NA,NA,"Nurse"
"916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"918",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"919",NA,NA,NA,"August 4, 2020","Macomb Community College, 1995",NA,"United States Army","1986 - 1989","Christian: Catholic","Nurse"
"920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"921","$71,685/year",NA,"November 6, 2018","August 4, 2020",NA,NA,NA,NA,NA,NA
"922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"923",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"924",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"926",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"927",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"928",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"930",NA,NA,NA,"August 4, 2020",NA,"St. Mary's College","Michigan Army National Guard",NA,"Christian",NA
"931",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"932",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"937",NA,NA,NA,"August 4, 2020",NA,"Dartmouth College, 2014",NA,NA,"Islam",NA
"938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"939","$174,000",NA,"November 6, 2018","August 4, 2020",NA,"Wayne State University, 1998",NA,NA,NA,NA
"940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"941",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"942",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"943",NA,NA,NA,NA,NA,"Northern Michigan University",NA,NA,NA,"Nurse"
"944","$174,000",NA,"November 6, 2018","August 4, 2020",NA,"Central Michigan University",NA,NA,NA,"Public service"
"945",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"946",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,"Jewish",NA
"947",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,"Christian","Attorney"
"948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"949","$174,000",NA,"November 6, 2018","August 11, 2020",NA,NA,NA,NA,NA,NA
"950",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"951",NA,NA,NA,"August 11, 2020",NA,NA,"U.S. Army",NA,NA,"Teacher"
"952",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"953",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
